,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10,Cluster11,Cluster12,Cluster13,Cluster14,Cluster15,Cluster16,Cluster17,Cluster18,Cluster19,Cluster20,Cluster21,Cluster22,Cluster23,Cluster24,Cluster25,Cluster26,Cluster27,Cluster28,Cluster29
Mol_indexes,"[12, 15, 17, 20, 21, 22, 23, 26, 30, 36, 37, 39, 45, 47, 52, 55, 65, 71, 72, 78, 80, 95]","[13, 25, 32, 38, 97]","[2, 33, 59, 83]","[10, 11, 29, 66, 67, 68, 86, 87, 92]","[18, 40, 46, 77]","[16, 42, 51]","[1, 24, 82]",[34],"[3, 53, 73, 79, 88, 91]","[35, 85, 93]","[5, 8, 43]",[48],"[4, 69]","[7, 58, 63, 99]",[96],"[9, 14, 50, 54]","[6, 81]","[28, 60, 62]","[31, 41]",[0],[74],"[19, 49, 56, 75, 76, 94, 98]",[70],[44],[64],[89],[61],[27],[84],"[57, 90]"
Mean_Energy,-11.247272727272728,-10.718,-10.247499999999999,-9.512222222222222,-9.39,-9.903333333333332,-8.963333333333333,-10.02,-9.605,-9.53,-9.546666666666667,-9.71,-9.415,-9.39,-9.56,-8.665,-9.454999999999998,-9.343333333333334,-8.825,-9.4,-9.33,-8.765714285714285,-9.25,-9.15,-9.11,-8.89,-8.7,-8.5,-8.39,-8.035
StDev_Energy,1.09337913007242,1.084997695850088,0.41347107919821113,0.7919876542247638,0.6666833331250047,0.27428695436227596,1.3038532637276838,0,0.41292856525069793,0.29137604568666853,0.1858314648635511,0,0.37476659402886975,0.24289915602982248,0,0.8554336132434043,0.12020815280171303,0.12096831541082714,0.8697413408594524,0,0,0.42914089150523127,0,0,0,0,0,0,0,0.38890872965260165
